,query_id,reference_id,score
0,Q00000,R251206,0.27252673540148853
1,Q00001,R505485,0.3444175708754208
2,Q00002,R339778,0.4276461879079985
3,Q00003,R809539,0.30226798514345715
4,Q00004,R187225,0.4727783714758611
5,Q00005,R708313,0.42000470960198566
6,Q00006,R052803,0.32791977784655524
7,Q00007,R264358,0.38832385991929513
8,Q00008,R793778,0.27923508646826545
9,Q00009,R081351,0.36713777867474656
10,Q00010,R100348,0.3089838875724802
11,Q00011,R297614,0.33739296623678394
12,Q00012,R525223,0.3815830113886784
13,Q00013,R098942,0.3478769200438295
14,Q00014,R422270,0.2857994777610168
15,Q00015,R854538,0.2898552346717251
16,Q00016,R426966,0.3610563064678673
17,Q00017,R827062,0.3506278036932503
18,Q00018,R987935,0.27454387001089375
19,Q00019,R391402,0.5538068764110068
20,Q00020,R719264,0.3767222802944548
21,Q00021,R069875,0.3635851301586059
22,Q00022,R461121,0.3677683233725646
23,Q00023,R051646,0.24016973433533398
24,Q00024,R911610,0.26230398056878906
25,Q00025,R950644,0.2430770790512889
26,Q00026,R897062,0.39233961570687914
27,Q00027,R717660,0.3273869275763891
28,Q00028,R593846,0.35615136707730954
29,Q00029,R508451,0.30014021446389705
30,Q00030,R741613,0.3932960384118776
31,Q00031,R015899,0.29561736172622544
32,Q00032,R083633,0.2613385505113024
33,Q00033,R840407,0.37281479414628127
34,Q00034,R626787,0.29928708581533325
35,Q00035,R961357,0.37295598997349666
36,Q00036,R980392,0.3516190241951939
37,Q00037,R412279,0.23932639603627834
38,Q00038,R192541,0.30600004786037976
39,Q00039,R210918,0.40268100157226694
40,Q00040,R642097,0.32786501039287286
41,Q00041,R307512,0.2618933213138509
42,Q00042,R590950,0.5160369469062912
43,Q00043,R956728,0.358099130966999
44,Q00044,R956121,0.3173504169243375
45,Q00045,R583486,0.2787416865454711
46,Q00046,R277154,0.3407005053714576
47,Q00047,R413727,0.3870634459330734
48,Q00048,R121818,0.3173824737430215
49,Q00049,R505463,0.36522376173729343
50,Q00050,R182176,0.2883353733834191
51,Q00051,R659384,0.31370477658155177
52,Q00052,R545942,0.32090120135399836
53,Q00053,R332394,0.2816098105961141
54,Q00054,R426137,0.3162320430001164
55,Q00055,R555937,0.29047103928781387
56,Q00056,R986404,0.2945897197736326
57,Q00057,R882202,0.37558908794927987
