query_id,reference_id,score
Q00000,R251206,18.346823817611735
Q00001,R505485,14.517261669581163
Q00002,R339778,11.6919082675786
Q00003,R809539,16.541612892370946
Q00004,R187225,10.575779903787938
Q00005,R708313,11.904628414139003
Q00006,R052803,15.247631700762096
Q00007,R264358,12.875850587803553
Q00008,R793778,17.9060592393293
Q00009,R081351,13.618865424442147
Q00010,R100348,16.182073567920657
Q00011,R297614,14.819514632355961
Q00012,R525223,13.10330871860285
Q00013,R098942,14.372899470795717
Q00014,R422270,17.49478354254013
Q00015,R854538,17.249990346604363
Q00016,R426966,13.848255550259948
Q00017,R827062,14.260135526429309
Q00018,R987935,18.212025640206797
Q00019,R391402,9.028418051438674
Q00020,R719264,13.272376659251172
Q00021,R069875,13.751937538861565
Q00022,R461121,13.595515660914579
Q00023,R051646,20.818609862884774
Q00024,R911610,19.061853309118018
Q00025,R950644,20.569607054332785
Q00026,R897062,12.744061012017584
Q00027,R717660,15.272448527540405
Q00028,R593846,14.038974610799832
Q00029,R508451,16.65888061328561
Q00030,R741613,12.713069829510388
Q00031,R015899,16.91375625167292
Q00032,R083633,19.132271110471926
Q00033,R840407,13.41148494777316
Q00034,R626787,16.70636735420355
Q00035,R961357,13.40640755054052
Q00036,R980392,14.219935941874281
Q00037,R412279,20.891970475509414
Q00038,R192541,16.33986672538488
Q00039,R210918,12.416776506657909
Q00040,R642097,15.250178706195635
Q00041,R307512,19.09174306132091
Q00042,R590950,9.68922870731573
Q00043,R956728,13.96261416914966
Q00044,R956121,15.755454328557246
Q00045,R583486,17.937754707473044
Q00046,R277154,14.675645974016449
Q00047,R413727,12.917778861671538
Q00048,R121818,15.753862968654042
Q00049,R505463,13.690237393689939
Q00050,R182176,17.34091776991636
Q00051,R659384,15.938552337280665
Q00052,R545942,15.581119605982119
Q00053,R332394,17.75506325371249
Q00054,R426137,15.811174454570244
Q00055,R555937,17.213420009991903
Q00056,R986404,16.97275792190603
Q00057,R882202,13.312420835493516
Q00058,R222397,14.24600868226701
Q00059,R543262,12.464143349482798
Q00060,R034840,12.699768227987747
Q00061,R235244,15.949124293909696
Q00062,R778447,18.290631076607124
Q00063,R685147,16.31913387225341
Q00064,R485242,15.102794070202954
Q00065,R024043,20.65340833703332
Q00066,R214513,17.56193988932367
Q00067,R059556,12.01165949440725
Q00068,R256853,8.97579778046683
Q00069,R044469,11.84950757869457
Q00070,R012745,13.719204352039378
Q00071,R373913,19.96413373282262
Q00072,R112461,16.60713493921818
Q00073,R379825,12.639726899713235
Q00074,R483378,15.090579766531183
Q00075,R261499,8.391761127899528
Q00076,R351694,15.684928662742717
Q00077,R668772,14.154244747264526
Q00078,R360161,14.598135774395445
Q00079,R980681,16.293281457435057
Q00080,R094784,16.701624659070628
Q00081,R181550,17.467811818645508
Q00082,R329677,15.369729789873539
Q00083,R964915,7.000959187993532
Q00084,R811980,14.870296199424617
Q00085,R617860,11.44410882741837
Q00086,R671436,16.183237186687883
Q00087,R562008,12.95345264144676
Q00088,R886134,18.298608940917113
Q00089,R130050,15.03832165947608
Q00090,R218976,16.163032581472702
Q00091,R054785,10.37029700069797
Q00092,R079763,14.481789539634327
Q00093,R657277,13.933220259401931
Q00094,R727538,18.404654651421463
Q00095,R578599,16.24114899571947
Q00096,R402336,9.06865000030904
Q00097,R438381,14.583623223719375
Q00098,R324107,17.271842144925895
Q00099,R255852,15.738245841190938
Q00100,R848250,14.211469046141747
Q00101,R894910,11.342687700111332
Q00102,R926625,15.429934889606223
Q00103,R960016,19.54735638644756
Q00104,R804175,13.490573098448603
Q00105,R741858,11.280072637203133
Q00106,R907775,16.77765715928056
Q00107,R789156,14.578976524054847
Q00108,R299616,14.398773343430266
Q00109,R559120,13.516383060553842
Q00110,R188342,9.702393733123067
Q00111,R489354,13.61045642579195
Q00112,R827916,17.02245824115824
Q00113,R167520,17.75862685132404
Q00114,R073775,15.685252046507708
Q00115,R395686,14.924249749985789
Q00116,R819809,14.385662825634489
Q00117,R020037,16.530586878288346
Q00118,R881287,10.656757417315212
Q00119,R214999,18.877308805711028
Q00120,R308957,15.707091960471162
Q00121,R152446,17.165325730596685
Q00122,R119187,13.002055397526691
Q00123,R326548,17.994417795907783
Q00124,R628276,16.734053289500086
Q00125,R667985,12.983829323790458
Q00126,R139672,13.093741607925857
Q00127,R194405,18.18879212477799
Q00128,R208513,16.65769434327574
Q00129,R933496,15.013549884599492
Q00130,R474351,16.28455173564597
Q00131,R889544,15.753792825541938
Q00132,R718160,18.613489811298095
Q00133,R110121,12.18596331286527
Q00134,R087184,16.607721614475977
Q00135,R202284,17.721691668261375
Q00136,R816141,13.370500099913643
Q00137,R195893,11.17651916050321
Q00138,R600714,18.724473672654252
Q00139,R251117,17.6692664433374
Q00140,R979635,15.77501843753309
Q00141,R038705,15.755782274623746
Q00142,R538178,12.124184930826116
Q00143,R660168,16.16994539599549
Q00144,R713710,15.84416992510869
Q00145,R196796,9.122025459672528
Q00146,R762450,15.181714225331259
Q00147,R713615,16.882268285767953
Q00148,R982083,16.995661466133953
Q00149,R188286,19.290517631057625
Q00150,R231163,10.392803024612473
Q00151,R104582,9.507169348683606
Q00152,R078322,12.585001499377475
Q00153,R099285,17.17003948990457
Q00154,R620441,16.980825273068014
Q00155,R341610,10.276101146653955
Q00156,R225677,20.16635517410074
Q00157,R522068,13.952700697510545
Q00158,R973601,17.09719414533677
Q00159,R790708,13.47342585214488
Q00160,R478798,18.825623631037832
Q00161,R630056,12.059527259777736
Q00162,R198909,16.004244233790256
Q00163,R113253,18.062096405033493
Q00164,R930223,15.317015084619461
Q00165,R888624,16.792640291077177
Q00166,R356303,14.164026584506182
Q00167,R781984,17.036869096994987
Q00168,R241554,14.615876400699843
Q00169,R006928,14.772596690970454
